SITECODE,site_name,ms,site_type,year_min,year_max,n_years,n_occurrences,expected_years,missing_years,gap_fraction
DE5018305,Langer Grund bei Schönstadt,DE,B,2018,2018,1,1,1,0,0.0
DE5018307,Nebeler Hintersprung,DE,B,2024,2024,1,1,1,0,0.0
DE5018308,Hohe Hardt und Geiershöhe/Rothebuche,DE,B,2012,2022,2,5,11,9,0.8181818181818182
DE5018401,Burgwald,DE,A,1983,2025,18,120,43,25,0.5813953488372093
DE5019301,Wald zwischen Roda und Oberholzhausen,DE,B,2014,2021,2,2,8,6,0.75
DE5020302,Waldgebiet südlich Densberg,DE,B,2022,2022,1,1,1,0,0.0
DE5020305,Ehemaliger Steinbruch nordwestlich Sebbeterode,DE,B,2013,2013,1,1,1,0,0.0
DE5021301,Leistwiesen bei Rommershausen,DE,B,2002,2002,1,8,1,0,0.0
DE5022301,Schwärzwiesen bei Hülsa,DE,B,2019,2019,1,1,1,0,0.0
DE5022401,Knüll,DE,A,1992,2025,22,136,34,12,0.35294117647058826
DE5023301,Roßbachtal bei Völkershain,DE,B,2013,2013,1,1,1,0,0.0
DE5024301,Forbachsee bei Bebra,DE,B,2013,2013,1,3,1,0,0.0
DE5024305,"Auenwiesen von Fulda, Rohrbach und Solz",DE,B,2020,2025,6,10,6,0,0.0
DE5024306,Wald westlich Lüdersdorf,DE,B,2024,2024,1,1,1,0,0.0
DE5024401,Fuldatal zwischen Rotenburg und Niederaula,DE,A,2010,2025,13,38,16,3,0.1875
DE5025303,Seulingswald,DE,B,2007,2007,1,1,1,0,0.0
DE5025350,Kalkmagerrasen zwischen Morschen und Sontra,DE,B,2006,2024,8,23,19,11,0.5789473684210527
DE5026301,Rohrlache von Heringen,DE,B,2021,2021,1,1,1,0,0.0
DE5026302,Obersuhler Aue,DE,B,2002,2025,4,11,24,20,0.8333333333333334
DE5026304,Grubenberg bei Gerstungen,DE,B,2023,2023,1,1,1,0,0.0
DE5026305,Dankmarshäuser Rhäden,DE,B,2024,2024,1,4,1,0,0.0
DE5026350,Rhäden bei Obersuhl und Bosserode,DE,B,2007,2025,7,15,19,12,0.631578947368421
DE5026402,Rhäden von Obersuhl und Auen an der mittleren Werra,DE,A,2002,2025,9,36,24,15,0.625
DE5027302,Nordwestlicher Thüringer Wald,DE,B,2010,2025,8,63,16,8,0.5
DE5028301,Hörselberge,DE,B,2014,2025,6,27,12,6,0.5
DE5028302,Nessetal - Südlicher Kindel,DE,B,2025,2025,1,1,1,0,0.0
DE5028303,Wartberge bei Seebach,DE,B,2010,2024,3,12,15,12,0.8
DE5029301,Krahnberg - Kriegberg,DE,B,2021,2022,2,2,2,0,0.0
DE5030301,Seeberg - Siebleber Teich,DE,B,2011,2024,7,24,14,7,0.5
DE5030302,Apfelstädtaue zwischen Wechmar und Neudietendorf,DE,B,2012,2025,4,5,14,10,0.7142857142857143
DE5031301,Molsdorfer Schloßpark,DE,B,2022,2022,1,2,1,0,0.0
DE5032301,Steiger - Willroder Forst - Werningslebener Wald,DE,B,2015,2025,11,105,11,0,0.0
DE5032420,Muschelkalkgebiet südöstlich Erfurt,DE,A,2013,2025,12,136,13,1,0.07692307692307693
DE5033303,Klosterholz,DE,B,2020,2020,1,4,1,0,0.0
DE5034302,Ilmtal zwischen Bad Berka und Weimar mit Buchfarter Wald,DE,B,2019,2025,7,32,7,0,0.0
DE5034420,Ilmtal zwischen Bad Berka und Weimar mit Buchfarter Wald,DE,A,2014,2025,8,34,12,4,0.3333333333333333
DE5035301,Nerkewitzer Grund - Klingelsteine - Heiligenberg,DE,B,2014,2025,7,58,12,5,0.4166666666666667
DE5035302,Isserstedter Holz - Mühltal - Windknollen,DE,B,2010,2025,12,148,16,4,0.25
DE5035303,Großer Gleisberg - Jenzig,DE,B,2013,2025,8,52,13,5,0.38461538461538464
DE5035304,Kernberge - Wöllmisse,DE,B,2009,2025,14,169,17,3,0.17647058823529413
DE5035306,Glatthaferwiesen Löbstedt,DE,B,2021,2021,1,2,1,0,0.0
DE5035309,Jenaer Forst,DE,B,2005,2025,13,106,21,8,0.38095238095238093
DE5036301,Tautenburger Forst - Hohe Lehde - Gleistalhänge,DE,B,2009,2025,11,62,17,6,0.35294117647058826
DE5036302,Alter Gleisberg,DE,B,2016,2024,5,33,9,4,0.4444444444444444
DE5036303,Waldecker Schloßgrund - Langes Tal,DE,B,2014,2024,4,6,11,7,0.6363636363636364
DE5037301,Beuche - Wethautal,DE,B,2013,2025,2,3,13,11,0.8461538461538461
DE5037302,An den Ziegenböcken,DE,B,2014,2025,5,31,12,7,0.5833333333333334
DE5037303,Am Schwertstein - Himmelsgrund,DE,B,2021,2024,3,4,4,1,0.25
DE5037304,Hainspitzer See und Park,DE,B,2024,2025,2,8,2,0,0.0
DE5038301,Zeitzer Forst,DE,C,2020,2025,6,21,6,0,0.0
DE5038303,Brahmeaue,DE,B,2025,2025,1,1,1,0,0.0
DE5038304,Zeitzer Forst,DE,B,2014,2014,1,4,1,0,0.0
DE5038305,Schluchten bei Gera und Bad Köstritz mit Roschützer Wald,DE,B,2019,2024,3,6,6,3,0.5
DE5038420,Zeitzer Forst,DE,A,2014,2014,1,4,1,0,0.0
DE5040301,Eremit-Lebensräume zwischen Altenburg und Schmölln,DE,B,2020,2025,4,4,6,2,0.3333333333333333
DE5042301,Chemnitztal,DE,B,2011,2025,14,199,15,1,0.06666666666666667
DE5045301,Freiberger Bergwerksteiche,DE,B,2019,2023,3,5,5,2,0.4
DE5047301,Täler von Roter Weißeritz und Oelsabach,DE,B,2020,2025,6,22,6,0,0.0
DE5047451,Weißeritztäler,DE,A,2010,2025,12,77,16,4,0.25
DE5048301,Lockwitzgrund und Wilisch,DE,B,2017,2025,8,22,9,1,0.1111111111111111
DE5048302,Müglitztal,DE,B,2018,2025,7,39,8,1,0.125
DE5048451,Osterzgebirgstäler,DE,A,2018,2025,8,62,8,0,0.0
DE5049301,Meuschaer Höhe,DE,B,2019,2021,3,4,3,0,0.0
DE5049302,Gottleubatal und angrenzende Laubwälder,DE,B,2021,2025,4,8,5,1,0.2
DE5049303,Seidewitztal und Börnersdorfer Bach,DE,B,2021,2025,4,9,5,1,0.2
DE5049304,Bahrebachtal,DE,B,2025,2025,1,1,1,0,0.0
DE5050301,Nationalpark Sächsische Schweiz,DE,B,2006,2025,15,295,20,5,0.25
DE5050302,Lachsbach- und Sebnitztal,DE,B,2013,2025,6,20,13,7,0.5384615384615384
DE5050303,Tafelberge und Felsreviere der linkselbischen Sächsischen Schweiz,DE,B,2020,2025,4,10,6,2,0.3333333333333333
DE5050304,Bielatal,DE,B,2013,2025,6,11,13,7,0.5384615384615384
DE5050451,Nationalpark Sächsische Schweiz,DE,A,2006,2025,15,292,20,5,0.25
DE5050452,Linkselbische Fels- und Waldgebiete,DE,A,2013,2025,6,17,13,7,0.5384615384615384
DE5051301,Sebnitzer Wald und Kaiserberg,DE,B,2019,2023,3,5,5,2,0.4
DE5054301,Mandautal,DE,B,2015,2024,4,7,10,6,0.6
DE5102301,Wurmtal südlich Herzogenrath,DE,B,1998,2025,18,163,28,10,0.35714285714285715
DE5102302,Wurmtal nördlich Herzogenrath,DE,B,1981,2024,31,173,44,13,0.29545454545454547
DE5104301,Indemündung,DE,B,2011,2024,10,44,14,4,0.2857142857142857
DE5104302,Rur von Obermaubach bis Linnich,DE,B,2011,2025,15,577,15,0,0.0
DE5105301,"Dickbusch, Loersfelder Busch, Steinheide",DE,B,2015,2025,5,10,11,6,0.5454545454545454
DE5105302,Nörvenicher Wald,DE,B,2022,2022,1,2,1,0,0.0
DE5106301,Kerpener Bruch und Parrig,DE,B,2015,2025,10,43,11,1,0.09090909090909091
DE5107302,Waldseenbereich Theresia,DE,B,2017,2025,5,10,9,4,0.4444444444444444
DE5107304,Heider Bergsee und Schluchtsee in der Ville-Seenkette,DE,B,2022,2025,3,4,4,1,0.25
DE5107305,"Ober-, Mittel- und Untersee in der Ville-Seenkette",DE,B,2010,2023,4,5,14,10,0.7142857142857143
DE5108301,Wahner Heide,DE,B,2009,2025,16,472,17,1,0.058823529411764705
DE5108401,Vogelschutzgebiet 'Wahner Heide',DE,A,2009,2025,16,488,17,1,0.058823529411764705
DE5109301,Naafbachtal,DE,B,2020,2025,6,14,6,0,0.0
DE5109302,Agger,DE,B,2013,2025,8,22,13,5,0.38461538461538464
DE5109303,Sandgrube Seligenthal,DE,B,2019,2025,7,21,7,0,0.0
DE5110301,Brölbach,DE,B,2015,2025,6,7,11,5,0.45454545454545453
DE5111302,Rosbachtal,DE,B,2014,2024,9,39,11,2,0.18181818181818182
DE5113301,Heiden und Magerrasen Trupbach,DE,B,2019,2024,6,40,6,0,0.0
DE5113302,Giebelwald,DE,B,2018,2024,5,6,7,2,0.2857142857142857
DE5114301,Weißbachtal zwischen Wilgersdorf und Rudersdorf,DE,B,2023,2023,1,1,1,0,0.0
DE5115301,Gernsdorfer Weidekämpe,DE,B,2014,2022,2,2,9,7,0.7777777777777778
DE5115302,Dillquellgebiet bei Offdilln,DE,B,2021,2021,1,1,1,0,0.0
DE5115303,Dietzhölztal bei Rittershausen,DE,B,2018,2019,2,2,2,0,0.0
DE5115401,Hauberge bei Haiger,DE,A,2009,2025,12,96,17,5,0.29411764705882354
DE5116301,Am Dimberg bei Steinperf,DE,B,1990,2024,3,9,35,32,0.9142857142857143
DE5116305,Extensivgrünland bei Ober- und Niederhörlen,DE,B,2021,2024,4,10,4,0,0.0
DE5116308,Borstgrasrasen nördlich Simmersbach,DE,B,2025,2025,1,2,1,0,0.0
DE5116309,Lohmühlenteich südlich Eibelshausen,DE,B,2018,2018,1,1,1,0,0.0
DE5116310,Magerrasen bei Steinperf und Brachehöll bei Niedereisenhausen,DE,B,2023,2023,1,4,1,0,0.0
DE5118301,Dammelsberg und Köhlersgrund,DE,B,2025,2025,1,5,1,0,0.0
DE5118302,Obere Lahn und Wetschaft mit Nebengewässern,DE,B,2012,2025,7,20,14,7,0.5
DE5119301,Brückerwald und Hußgeweid,DE,B,2010,2018,2,3,9,7,0.7777777777777778
DE5119302,Wohraaue zwischen Kirchhain und Gemünden (Wohra),DE,B,2012,2025,6,9,14,8,0.5714285714285714
DE5119303,Kuhteiche Emsdorf,DE,B,2016,2020,2,3,5,3,0.6
DE5120302,Maculinea-Schutzgebiet bei Neustadt,DE,B,2016,2019,2,3,4,2,0.5
DE5120303,Herrenwald östlich Stadtallendorf,DE,B,2004,2024,5,11,21,16,0.7619047619047619
DE5121401,Schwalmniederung bei Schwalmstadt,DE,A,2002,2022,9,26,21,12,0.5714285714285714
DE5122301,Truppenübungsplatz Schwarzenborn,DE,B,2003,2022,3,5,20,17,0.85
DE5125301,Dreienberg bei Friedewald,DE,B,2019,2025,4,13,7,3,0.42857142857142855
DE5125302,Landecker Berg bei Ransbach,DE,B,2021,2025,2,2,5,3,0.6
DE5125350,Werra zwischen Phillippsthal und Herleshausen,DE,B,2020,2022,3,3,3,0,0.0
DE5126302,Erdfallgebiet Frauensee,DE,B,2011,2011,1,15,1,0,0.0
DE5127301,Schweinaer Grund - Zechsteingürtel um Bad Liebenstein,DE,B,2010,2024,7,12,15,8,0.5333333333333333
DE5127401,Werra-Aue zwischen Breitungen und Creuzburg,DE,A,2007,2025,6,14,19,13,0.6842105263157895
DE5128301,Thüringer Wald von Ruhla bis Großer Inselsberg,DE,B,2019,2025,4,8,7,3,0.42857142857142855
DE5128420,Thüringer Wald zwischen Ruhla und Großer Inselsberg,DE,A,2019,2025,4,7,7,3,0.42857142857142855
DE5129303,Wiesen um Waltershausen und Cumbacher Teiche,DE,B,2008,2025,4,5,18,14,0.7777777777777778
DE5130302,TÜP Ohrdruf - Jonastal,DE,B,2016,2025,10,56,10,0,0.0
DE5130420,Ohrdrufer Muschelkalkplatte und Apfelstädtaue,DE,A,2012,2025,11,91,14,3,0.21428571428571427
DE5131303,Drei Gleichen,DE,B,2011,2025,11,192,15,4,0.26666666666666666
DE5132301,Riechheimer Berg - Königsstuhl,DE,B,2013,2025,7,29,13,6,0.46153846153846156
DE5134301,Reinstädter Berge - Langer Grund,DE,B,2004,2025,8,15,22,14,0.6363636363636364
DE5135301,Leutratal - Cospoth - Schießplatz Rothenstein,DE,B,1988,2025,17,310,38,21,0.5526315789473685
DE5135302,Dohlenstein und Pfaffenberg,DE,B,2004,2024,6,15,21,15,0.7142857142857143
DE5135420,Muschelkalkhänge der westlichen Saaleplatte,DE,A,1988,2025,21,806,38,17,0.4473684210526316
DE5136301,Zeitzgrund - Teufelstal - Hermsdorfer Moore,DE,B,2023,2024,2,3,2,0,0.0
DE5136302,Hänge um Meusebach und im Rotehofbachtal,DE,B,1982,2024,2,2,43,41,0.9534883720930233
DE5138301,Hainberg - Weinberg,DE,B,2017,2024,4,17,8,4,0.5
DE5140301,Bachtäler im Oberen Pleißeland,DE,B,2020,2025,3,5,6,3,0.5
DE5141301,Am Rümpfwald Glauchau,DE,B,2021,2022,2,8,2,0,0.0
DE5142301,Limbacher Teiche,DE,B,2021,2022,2,2,2,0,0.0
DE5142302,Oberwald Hohenstein-Ernstthal,DE,B,2024,2024,1,1,1,0,0.0
DE5142451,Limbacher Teiche,DE,A,2021,2025,3,5,5,2,0.4
DE5144301,Flöhatal,DE,B,2018,2025,5,16,8,3,0.375
DE5144451,Flöhatal,DE,A,2018,2025,5,13,8,3,0.375
DE5145451,Großhartmannsdorfer Großteich,DE,A,2021,2023,2,3,3,1,0.3333333333333333
DE5146301,Gimmlitztal,DE,B,2011,2021,3,7,11,8,0.7272727272727273
DE5147301,Pöbelbachtal und Hofehübel,DE,B,2022,2022,1,1,1,0,0.0
DE5148301,Luchberggebiet,DE,B,2021,2021,1,1,1,0,0.0
DE5148302,Trebnitztal,DE,B,2020,2023,3,8,4,1,0.25
DE5148304,Weicholdswald,DE,B,2020,2025,2,3,6,4,0.6666666666666666
DE5148451,Weicholdswald,DE,A,2017,2025,5,8,9,4,0.4444444444444444
DE5149301,Mittelgebirgslandschaft um Oelsen,DE,B,2022,2024,2,2,3,1,0.3333333333333333
DE5153301,Hochlagen des Zittauer Gebirges,DE,B,2018,2025,7,19,8,1,0.125
DE5153451,Zittauer Gebirge,DE,A,2018,2025,8,38,8,0,0.0
DE5154301,Eichgrabener Feuchtgebiet,DE,B,2023,2023,1,1,1,0,0.0
DE5203301,Wehebachtäler und Leyberg,DE,B,1981,2023,12,32,43,31,0.7209302325581395
DE5203302,"Werther Heide, Napoleonsweg",DE,B,2021,2022,2,2,2,0,0.0
DE5203303,Brockenberg,DE,B,2020,2025,4,7,6,2,0.3333333333333333
DE5203305,Bärenstein,DE,B,2023,2023,1,1,1,0,0.0
DE5203306,Hammerberg,DE,B,2021,2024,4,4,4,0,0.0
DE5203307,"Münsterbachtal, Münsterbusch",DE,B,2010,2025,13,50,16,3,0.1875
DE5203308,Schlangenberg,DE,B,1974,2025,21,218,52,31,0.5961538461538461
DE5203309,Steinbruchbereich Bernhardshammer und Binsfeldhammer,DE,B,2003,2025,12,65,23,11,0.4782608695652174
DE5203310,Brander  Wald,DE,B,2010,2025,14,58,16,2,0.125
DE5205301,Drover Heide,DE,B,2011,2025,15,248,15,0,0.0
DE5205401,Vogelschutzgebiet Drover Heide,DE,A,2011,2025,15,248,15,0,0.0
DE5207301,Waldville,DE,B,2014,2025,10,49,12,2,0.16666666666666666
DE5207303,Altwald Ville,DE,B,2019,2024,3,3,6,3,0.5
DE5207304,Villewälder bei Bornheim,DE,B,2015,2025,4,5,11,7,0.6363636363636364
DE5208301,Siegaue und Siegmündung,DE,B,2012,2025,9,138,14,5,0.35714285714285715
DE5209302,Tongrube Niederpleis,DE,B,2018,2025,4,10,8,4,0.5
DE5210302,"Ahrenbach, Adscheider Tal",DE,B,2018,2023,4,6,6,2,0.3333333333333333
DE5210303,Sieg,DE,B,2004,2025,11,114,22,11,0.5
DE5211301,Leuscheider Heide,DE,B,2017,2023,4,5,7,3,0.42857142857142855
DE5211302,Wiesen bei Dreisel,DE,B,2020,2025,6,43,6,0,0.0
DE5212302,Sieg,DE,B,2009,2024,10,22,16,6,0.375
DE5212303,Nistertal und Kroppacher Schweiz,DE,B,2017,2025,8,35,9,1,0.1111111111111111
DE5213301,Wälder am Hohenseelbachkopf,DE,B,2020,2025,3,8,6,3,0.5
DE5213401,Neunkhausener Plateau,DE,A,2021,2023,3,4,3,0,0.0
DE5214302,Gilsbachtal,DE,B,2015,2015,1,1,1,0,0.0
DE5214303,Bergwiesen Lippe mit Buchheller- und Mischebachtal,DE,B,2010,2025,6,47,16,10,0.625
DE5214305,Rübgarten,DE,B,2021,2021,1,4,1,0,0.0
DE5214306,Weier- und Winterbach,DE,B,2014,2022,4,9,9,5,0.5555555555555556
DE5214308,Hickengrund / Wetterbachtal,DE,B,2017,2017,1,1,1,0,0.0
DE5214309,Buchheller-Quellgebiet,DE,B,2013,2023,4,5,11,7,0.6363636363636364
DE5214401,Vogelschutzgebiet Wälder und Wiesen bei Burbach und Neunkirchen,DE,A,2010,2025,12,109,16,4,0.25
DE5215304,Orchideenwiesen bei Haiger-Seelbach,DE,B,2024,2025,2,7,2,0,0.0
DE5215305,Krombachswiesen und Struth bei Sechshelden,DE,B,1996,2024,5,25,29,24,0.8275862068965517
DE5215306,Dill bis Herborn-Burg mit Zuflüssen,DE,B,2021,2021,1,1,1,0,0.0
DE5215308,Wald und Grünland um Donsbach,DE,B,1994,2021,2,11,28,26,0.9285714285714286
DE5215309,Weißehöll und Waldbereiche östlich Niederscheld,DE,B,2021,2025,4,4,5,1,0.2
DE5216302,Strickshute von Frechenhausen,DE,B,1992,2025,3,12,34,31,0.9117647058823529
DE5216303,Struth von Bottenhorn und Erweiterungsflächen,DE,B,1995,2024,2,8,30,28,0.9333333333333333
DE5216305,Schelder Wald,DE,B,2007,2025,11,37,19,8,0.42105263157894735
DE5216306,Hoffeld bei Eisemroth,DE,B,2025,2025,1,2,1,0,0.0
DE5218301,Kleine Lummersbach bei Cyriaxweimar,DE,B,2003,2025,12,179,23,11,0.4782608695652174
DE5218302,Lahnaltarm von Bellnhausen,DE,B,2020,2020,1,1,1,0,0.0
DE5218303,Zwester Ohm,DE,B,2018,2018,1,1,1,0,0.0
DE5218401,Lahntal zwischen Marburg und Gießen,DE,A,2006,2025,20,432,20,0,0.0
DE5219301,Amöneburg,DE,B,2011,2025,12,48,15,3,0.2
DE5219304,Wald zwischen Roßberg und Höingen,DE,B,2021,2023,3,3,3,0,0.0
DE5219401,Amöneburger Becken,DE,A,1999,2022,18,448,24,6,0.25
DE5220302,Lützelgrund bei Maulbach,DE,B,2012,2012,1,3,1,0,0.0
DE5221302,Wald zwischen Romrod und Ober-Sorg,DE,B,2019,2019,1,1,1,0,0.0
DE5222301,Immichenhainer Teiche,DE,B,2016,2024,7,21,9,2,0.2222222222222222
DE5224301,Großes Moor bei Großenmoor,DE,B,2019,2019,1,6,1,0,0.0
DE5224303,Hauneaue zwischen Neukirchen und Hermannspiegel,DE,B,2016,2016,1,1,1,0,0.0
DE5225305,Ulster,DE,B,2009,2023,4,4,15,11,0.7333333333333333
DE5225308,Rasdorfer Berg,DE,B,2022,2024,2,5,3,1,0.3333333333333333
DE5226301,NSG Arzberg,DE,B,2022,2025,2,6,4,2,0.5
DE5226302,Kuppige Rhön südwestlich Dermbach,DE,B,2010,2023,6,12,14,8,0.5714285714285714
DE5226304,Öchsenberg - Dietrichsberg - Sattelberg,DE,B,2020,2024,4,6,5,1,0.2
DE5227301,Pleß - Stoffelskuppe - Bernshäuser Kutte,DE,B,2009,2022,3,23,14,11,0.7857142857142857
DE5227302,NSG Horn mit Kahlköpfchen,DE,B,2010,2022,3,23,13,10,0.7692307692307693
DE5229301,Mittlerer Thüringer Wald westlich Oberhof,DE,C,2012,2025,5,56,14,9,0.6428571428571429
DE5229303,Thüringer Wald zwischen Kleinschmalkalden und Tambach-Dietharz,DE,B,2019,2025,4,9,7,3,0.42857142857142855
DE5230303,Erlebachwiesen bei Wölfis,DE,B,2020,2024,5,22,5,0,0.0
DE5230305,Wilde Gera bis Plaue und Reichenbach,DE,B,2018,2023,4,4,6,2,0.3333333333333333
DE5231301,Wipfragrund - Stausee Heyda,DE,B,2019,2025,7,271,7,0,0.0
DE5231304,Große Luppe - Reinsberge - Veronikaberg,DE,C,2011,2025,7,16,15,8,0.5333333333333333
DE5233301,Kalmberg,DE,B,2024,2024,1,10,1,0,0.0
DE5233303,Muschelkalkhänge um Teichel und Großkochberg,DE,B,2009,2025,9,52,17,8,0.47058823529411764
DE5233304,Muschelkalk-Landschaft westlich Rudolstadt,DE,B,2016,2025,9,24,10,1,0.1
DE5233420,Muschelkalk-Landschaft westlich Rudolstadt,DE,A,2009,2025,11,41,17,6,0.35294117647058826
DE5234401,Vordere und Hintere Heide südlich Uhlstädt,DE,A,2019,2025,7,122,7,0,0.0
DE5236301,Neustädter Teichgebiet,DE,B,2019,2022,2,2,4,2,0.5
DE5236302,Östliches Riffgebiet Orlatal,DE,B,2023,2023,1,1,1,0,0.0
DE5237301,NSG Frießnitzer See - Struth,DE,B,2013,2025,4,9,13,9,0.6923076923076923
DE5237302,Auma - Buchenberg - Wolcheteiche,DE,B,2014,2023,3,4,10,7,0.7
DE5237420,Auma-Aue mit Wolcheteiche und Struthbach-Niederung,DE,A,2013,2025,7,14,13,6,0.46153846153846156
DE5238303,Elstertal zwischen Greiz und Wünschendorf,DE,C,2018,2022,4,6,5,1,0.2
DE5243301,Zwönitztal,DE,B,2012,2024,7,33,13,6,0.46153846153846156
DE5244451,Zschopautal,DE,A,2020,2024,3,3,5,2,0.4
DE5245301,Tal der Schwarzen Pockau,DE,B,2020,2023,4,6,4,0,0.0
DE5245302,Kalkwerk Lengefeld,DE,B,2014,2022,2,3,9,7,0.7777777777777778
DE5247451,Waldgebiete bei Holzhau,DE,A,2021,2025,3,4,5,2,0.4
DE5247452,Erzgebirgskamm bei Deutscheinsiedel,DE,A,2017,2025,4,6,9,5,0.5555555555555556
DE5248301,Bergwiesen um Schellerhau und Altenberg,DE,B,2016,2025,5,8,10,5,0.5
DE5248302,Hemmschuh,DE,B,2019,2021,2,4,3,1,0.3333333333333333
DE5248303,Geisingberg und Geisingwiesen,DE,B,2020,2024,4,25,5,1,0.2
DE5248305,Georgenfelder Hochmoor,DE,B,2011,2025,7,31,15,8,0.5333333333333333
DE5248306,Fürstenauer Heide und Grenzwiesen Fürstenau,DE,B,2010,2023,3,4,14,11,0.7857142857142857
DE5248451,Fürstenau,DE,A,2010,2024,6,10,15,9,0.6
DE5248452,Geisingberg und Geisingwiesen,DE,A,2020,2024,4,25,5,1,0.2
DE5248453,Kahleberg und Lugsteingebiet,DE,A,2011,2025,9,41,15,6,0.4
DE5303302,Kalltal und Nebentäler,DE,B,1986,2025,18,155,40,22,0.55
DE5303303,Buchenwälder bei Zweifall,DE,B,2015,2024,4,5,10,6,0.6
DE5304301,Ruraue von Heimbach bis Obermaubach,DE,B,2013,2025,11,27,13,2,0.15384615384615385
DE5304302,Buntsandsteinfelsen im Rurtal,DE,B,2014,2025,9,42,12,3,0.25
DE5304303,Meuchelberg,DE,B,2020,2025,5,21,6,1,0.16666666666666666
DE5304401,Vogelschutzgebiet Buntsandsteinfelsen im Rurtal,DE,A,2014,2025,9,42,12,3,0.25
DE5304402,Vogelschutzgebiet Kermeter-Hetzinger Wald,DE,A,2005,2025,18,869,21,3,0.14285714285714285
DE5305301,Bürvenicher Berg / Tötschberg,DE,B,2015,2025,9,21,11,2,0.18181818181818182
DE5305302,Muschelkalkkuppen bei Embken und Muldenau,DE,B,2011,2025,15,197,15,0,0.0
DE5305303,Griesberg,DE,B,2024,2025,2,6,2,0,0.0
DE5305305,Ginnicker Bruch,DE,B,2013,2022,7,14,10,3,0.3
DE5306301,Schavener Heide,DE,B,2014,2023,4,4,10,6,0.6
DE5307301,Laubwald südlich Rheinbach,DE,B,2018,2025,7,38,8,1,0.125
DE5308303,Waldreservat Kottenforst,DE,B,1997,2025,14,246,29,15,0.5172413793103449
DE5308401,Vogelschutzgebiet Kottenforst-Waldville,DE,A,1997,2025,14,295,29,15,0.5172413793103449
DE5309301,Siebengebirge,DE,B,1995,2025,20,947,31,11,0.3548387096774194
DE5309302,Rodderberg,DE,B,2006,2025,14,75,20,6,0.3
DE5309303,Kaolingrube Oedingen,DE,B,2012,2025,10,37,14,4,0.2857142857142857
DE5309304,Basaltsteinbrüche Hühnerberg und Eudenberg / Tongrube Eudenbach,DE,B,2019,2022,3,17,4,1,0.25
DE5309305,Asberg bei Kalenborn,DE,B,2012,2020,3,5,9,6,0.6666666666666666
DE5310301,NSG Komper Heide,DE,B,2022,2025,3,8,4,1,0.25
DE5310303,Heiden und Wiesen bei Buchholz,DE,B,2020,2024,4,7,5,1,0.2
DE5312301,Unterwesterwald bei Herschbach,DE,B,2011,2022,2,4,12,10,0.8333333333333334
DE5312401,Westerwald,DE,A,1988,2025,19,326,38,19,0.5
DE5314301,Hoher Westerwald,DE,B,1992,2025,15,43,34,19,0.5588235294117647
DE5314303,NSG Krombachtalsperre,DE,C,2024,2024,1,1,1,0,0.0
DE5314304,Feuchtgebiete und Heiden des Hohen Westerwaldes,DE,B,2012,2025,13,79,14,1,0.07142857142857142
DE5314450,Hoher Westerwald,DE,A,1992,2025,18,107,34,16,0.47058823529411764
DE5315302,Amdorfer Viehweide,DE,B,2025,2025,1,1,1,0,0.0
DE5315304,Rehbachtal zwischen Driedorf und Merkenbach,DE,B,2023,2024,2,4,2,0,0.0
DE5315305,Ulmbachtal und Wiesen in den Hainerlen,DE,B,2012,2025,4,6,14,10,0.7142857142857143
DE5315307,Waldgebiet zwischen Uckersdorf und Burg,DE,B,2020,2020,1,1,1,0,0.0
DE5315308,Beilstein bei Herborn,DE,B,2023,2023,1,1,1,0,0.0
DE5315309,Grünland und Höhlen bei Erdbach und Medenbach,DE,B,1999,2025,5,29,27,22,0.8148148148148148
DE5316301,Wacholderheiden und Grünland nördlich von Niederlemp,DE,B,1984,2025,2,4,42,40,0.9523809523809523
DE5316302,Grünlandkomplexe von Herbornseelbach bis Ballersbach und Aar-Aue,DE,B,2021,2024,4,27,4,0,0.0
DE5316303,Dillwiesen bei Katzenfurt,DE,B,2022,2025,3,3,4,1,0.25
DE5316304,Salbeiwiesen bei Bechlingen und Breitenbachtal,DE,B,2017,2023,6,73,7,1,0.14285714285714285
DE5316305,Wiesen westlich des Leuchteküppels bei Bellersdorf,DE,B,2025,2025,1,1,1,0,0.0
DE5316306,Struthwiesen bei Großaltenstädten,DE,B,2021,2024,2,9,4,2,0.5
DE5316308,Krausebachtal bei Großaltenstädten,DE,B,2022,2022,1,1,1,0,0.0
DE5316309,Auenbereich zwischen Oberlemp und Kölschhausen,DE,B,2025,2025,1,1,1,0,0.0
DE5316401,Wiesentäler um Hohenahr und die Aartalsperre,DE,A,1991,2025,13,45,35,22,0.6285714285714286
DE5316402,Hörre bei Herborn und Lemptal,DE,A,1984,2025,10,39,42,32,0.7619047619047619
DE5317301,Oberes Verstal,DE,B,1994,2025,3,14,32,29,0.90625
DE5317302,Helfholzwiesen und Brühl bei Erda,DE,B,1997,2023,2,7,27,25,0.9259259259259259
DE5317304,Holzwäldchen bei Krofdorf-Gleiberg,DE,B,2010,2021,4,6,12,8,0.6666666666666666
DE5317305,Grünland und Wälder zwischen Frankenbach und Heuchelheim,DE,B,2007,2025,12,50,19,7,0.3684210526315789
DE5317306,Krofdorfer Forst,DE,B,1983,2025,26,67,43,17,0.3953488372093023
DE5318301,Hangelstein,DE,B,1991,2025,11,53,35,24,0.6857142857142857
DE5318302,Wieseckaue und Josolleraue,DE,B,2006,2025,8,38,20,12,0.6
